ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	entrezgene	external_gene_name	chromosome_name	start_position	end_position	strand	gene_biotype	description
ENSG00000000003	490.017213130775	0.914520381923711	0.108570891294216	8.4232557274072	3.66164050179492e-17	2.09989753088774e-16	7105	TSPAN6	X	100627109	100639991	-1	protein_coding	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]
ENSG00000000419	817.780657499214	-0.189465128063631	0.100743634426782	-1.88066600080157	0.0600173673901581	0.0820761868261727	8813	DPM1	20	50934867	50958555	-1	protein_coding	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]
ENSG00000000457	82.078767893562	0.330763887346018	0.213176339837325	1.55159755345469	0.120758548928528	0.155390425128439	57147	SCYL3	1	169849631	169894267	-1	protein_coding	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]
ENSG00000000460	356.07160020304	-1.86365784018783	0.123924261113569	-15.038684301534	4.09610297882507e-51	9.08873504190439e-50	55732	C1orf112	1	169662007	169854080	1	protein_coding	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000001036	919.606750211436	-0.348272279246703	0.0846966582216084	-4.1119955209502	3.92253911121545e-05	8.77574818344059e-05	2519	FUCA2	6	143494811	143511690	-1	protein_coding	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]
ENSG00000001084	529.593965301543	-0.676419368624487	0.0944997821854185	-7.15789341500578	8.19262107435275e-13	3.60277616959018e-12	2729	GCLC	6	53497341	53616970	-1	protein_coding	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]
ENSG00000001167	491.139791725439	-0.267745510372655	0.0948863917008434	-2.82174825676583	0.00477626538603038	0.0079490246337357	4800	NFYA	6	41072945	41099976	1	protein_coding	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]
ENSG00000001460	143.508716953047	-0.509915700748837	0.172868908920953	-2.94972475925097	0.00318057137298517	0.00545486699710327	90529	STPG1	1	24356999	24416934	-1	protein_coding	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]
ENSG00000001461	650.564589656325	0.027341473153913	0.108337718978352	0.252372612343596	0.800753067320345	0.828898545437477	57185	NIPAL3	1	24415802	24472976	1	protein_coding	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000001497	997.074671899261	-1.47870627289614	0.0875440760764305	-16.8909918199966	5.24144381233169e-64	1.6756528047406e-62	81887	LAS1L	X	65512582	65534775	-1	protein_coding	LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]
ENSG00000001617	196.782898136818	-0.396714154693651	0.145278803267021	-2.73070913149315	0.00631982218845526	0.0103134857117766	6405	SEMA3F	3	50155045	50189075	1	protein_coding	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]
ENSG00000001629	1084.94728326167	0.0285542247596382	0.104504470512006	0.273234480972351	0.784672976064391	0.81534894550424	54467	ANKIB1	7	92245974	92401383	1	protein_coding	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]
