ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	entrezgene	external_gene_name	chromosome_name	start_position	end_position	strand	gene_biotype	description
ENSG00000000003	490.017213130775	0.316043750671917	0.112560346785483	2.80777165047501	0.00498855860504543	0.016991403585129	7105	TSPAN6	X	100627109	100639991	-1	protein_coding	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]
ENSG00000000419	817.780657499214	0.0749398782927873	0.101594847468836	0.737634635612548	0.460736502248465	0.597085672484499	8813	DPM1	20	50934867	50958555	-1	protein_coding	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]
ENSG00000000457	82.078767893562	0.296947478572107	0.219918806114531	1.35025959725091	0.176932727323568	0.297981203664855	57147	SCYL3	1	169849631	169894267	-1	protein_coding	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]
ENSG00000000460	356.07160020304	-0.160503617935594	0.115574534527687	-1.38874552765033	0.164910144651767	0.282465055661316	55732	C1orf112	1	169662007	169854080	1	protein_coding	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000001036	919.606750211436	0.0706688089053793	0.0851897269213768	0.829546137301283	0.406795440947542	0.547494287410892	2519	FUCA2	6	143494811	143511690	-1	protein_coding	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]
ENSG00000001084	529.593965301543	-0.0900664306871933	0.0945489993069875	-0.952589994049119	0.3407978489032	0.483859551460993	2729	GCLC	6	53497341	53616970	-1	protein_coding	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]
ENSG00000001167	491.139791725439	-0.182098992864419	0.0971607377461357	-1.87420348063034	0.060902384588634	0.130468032701412	4800	NFYA	6	41072945	41099976	1	protein_coding	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]
ENSG00000001460	143.508716953047	-0.119015142581067	0.174747452652235	-0.681069399151238	0.49582757880385	0.629686770955878	90529	STPG1	1	24356999	24416934	-1	protein_coding	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]
ENSG00000001461	650.564589656325	0.478677725957374	0.108746777537749	4.40176469405002	1.07373970843094e-05	8.43371630900118e-05	57185	NIPAL3	1	24415802	24472976	1	protein_coding	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000001497	997.074671899261	-0.307351358607188	0.0855540213228349	-3.59248289975066	0.00032754215450034	0.00168130617193872	81887	LAS1L	X	65512582	65534775	-1	protein_coding	LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]
ENSG00000001617	196.782898136818	-0.0835876774490484	0.147404303007695	-0.567064025564334	0.570670683029192	0.693207879246807	6405	SEMA3F	3	50155045	50189075	1	protein_coding	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]
ENSG00000001629	1084.94728326167	-0.110979815833406	0.105853514500301	-1.04842825821424	0.294441339803863	0.436615385175538	54467	ANKIB1	7	92245974	92401383	1	protein_coding	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]
ENSG00000001630	48.3825187312976	-1.32147602160061	0.275121361158834	-4.8032476141963	1.56112631142063e-06	1.52534178068967e-05	1595	CYP51A1	7	92112153	92134803	-1	protein_coding	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]
ENSG00000001631	428.542696499662	0.135241854114191	0.112955853827325	1.19729832081952	0.231190298700428	0.363530598042804	889	KRIT1	7	92198969	92246166	-1	protein_coding	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]
ENSG00000002016	64.5369530454487	0.760953159600221	0.246364956346075	3.08872321326127	0.00201018623266101	0.0079094453170667	5893	RAD52	12	912077	990053	-1	protein_coding	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]
ENSG00000002079	986.16170178502	-0.612515026758861	0.0850875770568718	-7.1986422453828	6.08150814290466e-13	1.74177260721541e-11	NA	MYH16	7	99238829	99311130	1	transcribed_unitary_pseudogene	myosin heavy chain 16 pseudogene [Source:HGNC Symbol;Acc:HGNC:31038]
ENSG00000002330	231.515643967941	0.356553364919341	0.162704280405604	2.19141969732138	0.028421434994894	0.0709776852953748	572	BAD	11	64269830	64284704	-1	protein_coding	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]
ENSG00000002549	615.886245756889	-0.186382291183101	0.117554560468908	-1.5854960491507	0.112853673863352	0.210501571290365	51056	LAP3	4	17577192	17607972	1	protein_coding	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]
